Gate,Next_gate,Aerial_distance,Lateral_distance
1.0,2.0,25.518682656794148,6.978644388036073
2.0,3.0,31.156880002091484,6.370359519749886
3.0,4.0,28.204392215458036,6.956856203475089
4.0,5.0,25.629388245111198,10.227615351866984
5.0,6.0,23.448923718350223,11.342252943789196
6.0,7.0,31.18747182846593,10.37154388627376
7.0,8.0,28.412726233940766,11.243938788161737
8.0,9.0,37.07929180690593,11.615359952303342
9.0,10.0,27.428326627523685,10.501670513068023
10.0,11.0,29.08466511276357,9.515352679845591
11.0,12.0,24.98127474859931,9.147331843945343
12.0,13.0,30.041517317142723,8.045073216396839
13.0,14.0,29.336309124536882,8.207087365971892
14.0,15.0,30.550950662716232,8.877693495873086
15.0,16.0,20.639502478626778,8.431435518565088
16.0,17.0,35.3573195353779,8.525863609046146
17.0,18.0,21.243298118283455,8.35471502151043
18.0,19.0,37.35994393015809,9.145595376503957
19.0,20.0,21.94996102103271,8.27627649779598
20.0,21.0,33.61756364766494,4.417673094484204
21.0,22.0,15.740644331301779,4.927368540502136
22.0,23.0,36.558533290499795,8.353022452364346
23.0,24.0,21.634913374480668,8.625861126973435
24.0,25.0,33.34153289509991,8.558396356875573
25.0,26.0,23.349699151351025,8.486367656179475
26.0,27.0,33.03048979239519,8.267057429899063
