Gate,Next_gate,Aerial_distance,Lateral_distance
1.0,2.0,46.28286012627492,7.824848849987217
2.0,3.0,33.80750242045864,8.315944724512988
3.0,4.0,34.779190694536375,8.696083546052328
4.0,5.0,30.258319891261152,8.148593389594165
5.0,6.0,36.6865030154307,8.126640631744971
6.0,7.0,30.18996975888742,6.5079120321573845
7.0,8.0,35.53869723761561,7.780567403998028
8.0,9.0,33.93166409733597,4.868293216107524
9.0,10.0,27.24950783420432,3.0964102166510927
10.0,11.0,44.740898210245035,5.0967325200889855
11.0,12.0,38.36474904478384,3.4862970047816275
12.0,13.0,29.258142325748068,3.3039920027451526
13.0,14.0,37.96358678028516,4.114267386864252
14.0,15.0,33.81000369556003,4.432846560369099
15.0,16.0,38.946265838090014,4.808612982480436
16.0,17.0,37.56179637552032,5.243846312411691
17.0,18.0,44.41461132104936,6.025191497739786
18.0,19.0,36.14422416545099,4.632364682819435
19.0,20.0,32.94683446720972,2.837566483215429
