Gate,Next_gate,Aerial_distance,Lateral_distance
1.0,2.0,31.4676993861241,6.647936699000258
2.0,3.0,33.107007768303895,9.364236100045986
3.0,4.0,39.88969780902889,10.270113561317567
4.0,5.0,34.87982482616224,7.689769227560674
5.0,6.0,33.9265480536454,8.591340877937498
6.0,7.0,38.57108600377049,7.122011414244771
7.0,8.0,36.22592508080066,8.628885611473196
8.0,9.0,35.8306173988411,6.269931089039857
9.0,10.0,31.63663407903864,3.9090348685548957
10.0,11.0,32.96081273206078,4.512048646663023
11.0,12.0,33.73194964520402,4.570604164552209
12.0,13.0,33.8320328183395,3.7293048154410866
13.0,14.0,29.166595289540183,3.5460265072375123
14.0,15.0,40.663161124928635,3.9154448135287763
15.0,16.0,28.99391040041279,3.6134566142713394
16.0,17.0,38.98799904404688,4.6568123185376304
17.0,18.0,39.48620646254102,7.146710543189081
18.0,19.0,44.799629256877544,7.204623756971331
19.0,20.0,31.34771376261946,5.513761197852644
