Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,13.341844152127758,18.09329254283134,32.891672434875886,38.8519421428177,1.5545257457770663,1.2006935411492246
2,19.34867790617038,14.909234686449112,43.46029202077865,46.83755889973498,1.3281697521267073,1.4340084240134234
3,17.916848766093036,22.90456510630424,52.55474771615493,55.21882823192067,1.534833253916352,1.7236727770651796
4,23.672453549097725,13.319158385625663,52.83701053195005,53.16836040386488,1.7162095967646107,2.165959581974084
5,17.218737550865654,17.909847032251072,57.79877973846535,56.80813917862357,1.7401593779249527,1.646684261090803
6,22.863407258979734,17.644451321825073,55.09736850941212,54.80783795673097,1.770302776615782,2.3806906256654217
7,15.291424848957817,23.002895517642088,60.507094576746525,60.49415468717578,2.206108364087637,1.6712295641136545
8,17.550016895390772,20.53516122163015,62.73279490215615,67.89163539702827,1.6619441094516239,2.447017193532395
9,17.135784149818384,14.602185693516338,71.50020220192769,73.14808743310535,2.103160598599051,2.062936648321951
10,16.518370170752682,15.88380367916935,72.96791518206356,72.535674379365,1.4772174978244736,1.7281687256965663
11,13.751459124206384,20.34224187684566,68.0680509794485,64.2630893195905,1.4773361120926505,1.217007342442668
12,17.777076248423377,15.870314857159109,60.20794345000588,63.133975553288195,1.1836439873488283,1.2858098653031018
13,12.683646785805594,16.330769555815184,62.953818957222566,60.92961028552674,1.697271010352605,0.9328962924506978
14,23.25207959164226,17.521220522333714,59.162235480732576,61.80503129228451,1.1372844313349877,1.227123243682414
15,12.057237788166582,16.695535381767534,62.08558321786219,60.833067729059806,1.5374495347661363,0.8897185357550703
16,22.023383358040128,17.361112121068366,60.814436041082615,65.29914861300779,1.2029420632503012,1.1779188427231144
17,16.00684323272894,23.981026055529036,67.43960817276883,65.83799885599629,1.6846279688359382,1.162604580762878
18,22.871212898486988,22.08733518028331,63.5587103669878,67.36170301960645,1.5295883137397839,1.96971934270209
19,16.310071547912678,15.60305669175303,68.38074164660652,66.09307773165911,1.021711787438669,1.7369737318032963
20,18.310347135771206,11.943030187941355,66.65791204417161,69.74339898887824,1.0076519198403258,1.9686903938334785
