Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,13.675770407183037,18.312192106966354,32.56896079191085,38.10287685459919,1.3030775527166634,1.054531780011046
2,19.259296300782342,15.011150012738453,43.110244116158135,48.26103523363112,1.1493722514315456,1.602751430500026
3,18.16607796101523,23.090405955457054,53.29006166667003,56.087249316681735,1.5908287718315535,1.5618044494927295
4,22.859974916623738,13.715575320223651,57.08874394762735,57.709384127627146,1.365040913963448,2.456884127155476
5,16.78476440668829,19.19167258645009,58.61006284068245,56.971889859208375,1.6590824727260893,2.0353070164120055
6,22.106207362562177,17.492631959903846,54.66904965550644,56.623990106424266,1.211100379168372,2.040554409820667
7,15.6909764794555,23.221143519398446,62.2249852756661,64.14940475542416,1.1904397992945608,2.0758796546345146
8,16.81543955722372,20.865663100800152,68.17030085918857,74.37354257968695,1.047737051248304,2.687068272103642
9,17.632267045705646,14.24630232874568,77.45970950879271,75.01631013222901,1.3247754740438629,2.15770028570936
10,16.225103585160994,16.13479886992618,74.8071708527065,71.79768470868761,1.135786148642928,2.229817675440486
11,14.034433767812327,19.943015197879554,67.26689594190742,63.75936995163829,0.6654683604477487,1.4196418689815966
12,17.22411962529171,16.418905615383913,62.66973059761616,62.29278266004492,1.0024948580532556,1.4008317836499944
13,13.029295820802188,16.035377694312718,61.02058075557898,59.73588932687618,1.2676184965980326,1.0757281436398565
14,22.683082568810235,18.052282863471447,59.34961976471394,59.66913922837001,1.051720522943877,1.3906230684971652
15,12.13153902528558,16.711398690654715,59.421350557656744,58.57987420301452,1.234767255956509,0.8739862296213375
16,21.589688948653407,17.69645935043607,59.6711777939797,61.12310427428984,1.0784085594292676,1.5574906743855341
17,16.264985355969586,23.38417408654494,63.9161804527316,63.15432333254166,1.0839093965234066,1.3140966985765452
18,22.416138992104926,23.01277274363469,63.241453627331246,65.42845261014354,1.175793980820025,2.1998670705658863
19,16.538367330518025,14.821050755623942,65.92720197785425,64.98809614666594,0.7087349942292832,1.715598038100982
20,18.129569473648363,12.534381021140096,66.72726063643678,68.18802998459304,0.7295684740413773,1.8307051696913073
