Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,13.691466210787326,18.891244443603057,31.268739060554207,37.7577373305115,1.2023603632123705,1.063319449588404
2,20.110586243260386,14.212963772773346,43.68782154155694,50.436868850087535,1.2169020724540793,1.5152117734331771
3,17.903144004877547,22.882436265341198,55.551807831062696,57.812460288026024,1.6238373901503835,1.6474068511943345
4,24.25277913863851,13.081821171308267,54.90347737532696,56.91952091694534,1.532310468939296,2.02900672718847
5,16.294407234825687,18.712549017634217,59.62260891812636,58.95527732424191,1.8315217114891722,1.6316534524924604
6,23.010970873594005,16.816900203296314,53.81470450848264,56.693442311949994,1.4660944804029967,1.8403632271268595
7,14.698413755952256,24.54347008130754,61.38398953319135,62.28426625424554,1.6302432229906503,1.8609843435176618
8,16.84177692659487,19.99216452757835,68.4539692490158,75.10723012488556,1.0792014209248029,2.399567088757075
9,17.063177811188982,14.979209157697984,77.3868518557488,77.11825120978317,1.7240959201832702,1.994099665080792
10,16.513529771891722,15.545619177966003,74.78395258127635,73.1027771950436,1.2713400560361114,2.3892223168208213
11,13.655501380559961,20.618075695517636,68.79227505479237,66.33151823353646,0.8344368285447928,1.3802957368228188
12,17.770380295663387,15.919332448033705,64.91903150130656,64.99911998048394,1.201130931620924,1.3427379997071267
13,12.525087877589419,16.219748583882016,63.73056372209285,62.46331356830403,1.6390891070638238,0.8515910794180978
14,23.520872736617687,17.418877039856124,61.841486743852215,62.178441615531234,1.1703749477187255,1.4099560578641523
15,11.817479421105594,16.944051396399438,61.531606847280294,61.64960360666258,1.3228905876147543,0.8619190556647482
16,22.060303734388913,17.428812908716612,62.677431637951656,65.39869259154833,1.1246689560572747,1.1975737058675262
17,15.802316741495094,24.148377632739777,66.6639423517865,67.07118466221138,1.6690737922191012,1.248795848619726
18,22.873816774653914,21.855781645191044,66.52724510999,68.89991627673031,1.2729985825493628,2.228232335344864
19,16.51151660866838,15.534697215558385,68.9173752929076,67.71046437406082,0.7417277747078471,1.9475178191661342
20,18.141148239564473,12.308899908511785,70.15695295606625,71.90074439568629,0.8312247525925176,1.6047380674887826
