Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,11.87206384588345,14.19727482415975,74.71398367582312,74.21407104401317,1.69191643262826,1.1429963622596628
2,14.417681686602586,16.789500302610893,74.65974844151962,72.24313443588733,1.87812148491452,1.4742781951215294
3,10.346750481681815,18.716837463117557,71.70191099168616,72.48209030626458,1.753427712341697,1.6367319375929388
4,7.27645126811266,19.349537928961414,69.88861953038426,66.74168321780957,1.732951443446049,1.30077830778556
5,13.620441215774477,11.233164400239207,65.40418373368212,67.52078456226964,1.8218938886671925,1.2952222622269909
6,17.97921386217016,14.178550919144689,62.65339667633184,61.50496791251566,1.8071896995899372,1.2139982932204654
7,18.06239910694617,12.664639964422062,61.11900560909575,61.093123196364154,1.7349965591804974,1.5561895230834928
8,13.799709382075665,24.429887822133722,59.66124119074346,59.70300111974515,1.5557380563810803,1.24955117065869
9,14.920763652880558,13.776518666549528,62.52981393522907,63.95010989177991,1.6872718782982186,1.4942946819054395
10,11.934461051585835,17.202237650377917,63.52150966116414,63.63637184216631,1.7340975688353122,1.1554921240956024
11,13.046906301612195,13.405147891567841,62.82518693674561,65.40261922583717,1.913756094002062,0.9180536850893649
12,16.383647891492874,13.91850865837031,64.46407565662882,64.9940443759826,2.097932774278489,1.3848743529940037
13,16.64962381298722,14.304889776795028,62.715821607776334,64.28492739802489,1.5081328003297494,1.4039097745875497
14,10.01913459924154,21.272269555716225,60.93007460947698,61.19727119242501,1.6183403686489142,1.717735469431997
15,13.155221785433202,8.65866839740413,62.549362492338815,64.58866348222217,1.3758950999156776,0.9692081908741206
16,15.946641460954892,19.757676997265246,62.736987875362146,60.95609330151593,1.821891902596458,1.3281409554096675
17,11.288410135227302,10.546015569429164,61.27483111552836,61.4303908084083,1.4174839739501894,1.2627306145735644
18,17.894065950495403,20.99709909539327,61.02490717079273,59.89830025578801,1.4548478467213324,1.4915272841985978
19,8.74172602157892,13.41293755692348,61.29397265659548,62.85257088503678,1.3651806201167573,1.2043888171500972
20,11.667146112406321,22.129164740495092,62.86091167787858,63.52451481684797,1.5380386567723376,1.1929138069984997
21,6.869486423770021,8.696100120201184,64.84569512082554,64.68212305314704,1.2602994770656752,0.9564236818418664
22,15.673621490885404,21.629140113839465,66.17659788845437,66.39614950091813,1.6748351081414934,1.4668055173988368
23,11.0580253115708,10.781500947300957,67.78516205195933,67.28657185813907,1.3906426037765343,1.3675347760288608
24,16.90748094578471,17.065057870565795,65.89751641909245,61.60910069638017,1.640255303908004,1.2790690609033089
25,14.227806120183173,10.331775469601485,58.80839862274385,56.75348578260231,1.1733734432160352,1.1880428195303239
26,15.93240381207352,17.592995652306325,53.09224922169586,47.94560013780475,1.245395447380838,1.0861993395249054
27,12.383488508725074,10.048557528263688,43.41645679459844,39.74353114278471,1.1529011362303812,1.253782132448801
