Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,26.8610479138599,20.114202578975323,26.4649621023947,36.85660809880804,1.1417564690028548,1.1181358876389405
2,15.394023982666518,19.747551875938424,42.16410579339549,47.161498996490636,1.2571338496773428,1.4726203463711505
3,16.16264978187492,19.175436958741727,49.96270326595097,49.564694425790464,1.1376062149417752,1.444850389464135
4,16.52525482509169,15.110268454279902,51.13569232847639,54.32992055929724,1.395968625625629,1.627901863902714
5,16.664375490439447,20.80583631803089,55.686421785769156,55.21433854553706,1.5722627877442477,1.5021468151768484
6,15.209266411204997,16.24948586709619,54.974210381913984,56.9758851106161,1.1882567456881574,1.6115349130572783
7,20.209316476405036,16.634270018762926,59.40392407996998,61.12047527208954,1.361937470594193,1.4394420630560925
8,17.478698808026348,18.252715728779265,63.098707570673454,69.48965998099575,1.3096854326389833,2.107619737466998
9,18.104474111845708,9.413221365499403,74.2326378046766,74.50744237435208,1.312815552651839,1.7945191853096194
10,20.835349665811478,24.12325405568825,73.24936029795106,70.96259176890204,1.4519497477146737,1.5153875359510105
11,15.9304140825964,22.037254493185433,66.64344008090058,64.47726266186777,1.1883044579245359,1.268614700278885
12,14.123519324655517,15.200123942525565,63.12618451065524,62.32162201202476,0.819899893120265,1.3016882425171703
13,16.747216864345543,21.024552526126566,60.999434316584924,58.71213040077345,1.1696640681340091,1.168110529881532
14,16.053661638203724,17.775619722633788,57.482317532831836,58.40179567700452,1.0516024188034987,1.0850705582825386
15,19.94704203557287,18.993302072420462,57.89186602455989,56.46369281226234,1.3020151595416025,1.0370215482734118
16,19.832219268976612,18.313374839912495,56.64581929762981,60.32790417136454,1.0592234654101864,1.2430255591632036
17,24.288197413008906,20.2552619612343,62.16662960496736,61.599277925782495,1.2660062156647027,1.1182835664899466
18,21.23021289764698,15.521559007238405,61.165819724270264,63.45192337449494,1.2065715955684266,1.7209239203869506
19,16.632255211549555,16.29702190734857,64.54745717700743,63.54683820000196,1.1627130906868057,1.2048245872372843
20,17.15790145204807,18.407180213407496,65.0905812978896,67.61979274744236,0.850419369662162,1.690458711047224
