Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,14.71398302773988,17.295712406101934,31.927740510848583,38.43310831672562,1.498852167593932,1.1095766135239884
2,18.169059708717047,15.691654744137319,43.72434393626687,49.19093144304723,1.313384796143469,1.363759378292356
3,19.35660348759672,21.847665159259357,53.0676523744083,52.9186620385763,1.8275905778222472,1.487255891589696
4,21.816696787682332,14.775838285117358,51.71795027884823,53.80448581227797,1.3648600164706322,1.8322335601895954
5,17.779186169964465,17.22374106743244,56.804869023652245,56.33252242349497,1.7697903044647718,1.7492957622962002
6,21.7442825644164,18.966753155078262,55.81452845500423,55.50691044937167,1.3208004731232423,2.2100041477040286
7,16.003669290917404,21.755896023218995,59.41778727435211,58.31080332179787,1.872654966345367,1.7322270873857228
8,16.447631621616647,21.504016360485195,62.206968928184494,66.87982519204537,1.2346339175257246,2.177089212805924
9,17.558847549513448,14.060998001175863,74.50207461982949,73.39271790461652,1.5572115513142117,1.883295637928587
10,16.009176104567533,16.709155014652442,72.599304064213,70.17763609378719,1.325787596991402,1.9704214505913955
11,14.07186427052174,19.66472615955188,68.43525119272941,64.93767363544518,0.8958061955478613,1.3260468518500104
12,17.13788089856721,16.63886270626596,64.37772914175359,63.983815925439394,1.0739384384331296,1.3511716957658104
13,13.186374151496992,15.814421780238565,63.674408960251654,62.24565665922597,1.4387180772252401,0.8530878770102367
14,22.734574828738292,18.14540131518381,60.847836580129304,61.241602921725416,1.1741222702795056,1.455855276665212
15,12.372381021726733,16.534065017562444,61.85452222565769,61.037588676913856,1.138366436226007,0.8184241150651558
16,21.416313740054232,17.958878502988792,61.467274132605915,63.347547122649075,1.1386917799163192,1.4352249596354403
17,16.38539582044949,23.376298960171532,66.75358995953185,65.7403933564148,1.3273207263595188,1.366828198615871
18,22.201472476913214,23.472954328098975,65.93964686878265,66.89481646961623,1.1812169806109192,2.231398538510784
19,16.614731595481036,14.846602715822968,68.59212317783474,65.97021813586652,0.8631416385952144,1.7592354679075104
20,18.15930316115575,12.707461147281284,67.60085673912985,68.61583988553234,1.0198292592538287,1.913517639684644
