Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,13.209628905805019,19.730476774298722,31.74922731790605,37.67111189451104,1.231095247404797,1.0775816088618573
2,19.19162565167604,14.31369348058968,44.70961209929861,49.239229096484905,1.0600373828673797,1.8621688167069528
3,17.49255053756012,24.34963731975709,53.40953037635507,55.42724201109435,1.48327616654331,1.5879378314106345
4,23.78269777942413,12.724141292361256,52.15860203983091,52.64421130947412,1.4385964621159948,2.325520644064736
5,16.482069989084035,18.663468299254234,53.797271907518926,52.871653235128534,1.5655594700606854,1.4866715470883
6,22.81452970836982,17.099403426235575,52.110787139570725,53.40785629436288,1.1289462513924384,2.1501329989932265
7,14.99962223565288,23.96748044193678,56.64499084485979,60.19913036736537,1.684345531044487,1.4905833193970341
8,17.238203235114486,20.196818584657414,64.98725100320705,71.5076135762376,1.2631638333854673,2.3057578578036906
9,17.0388964746701,14.791246595970046,71.17739036397917,70.59443735779556,1.872584782341463,1.9191518735314272
10,16.563476565547514,15.702925316970761,69.76774885591303,68.01427534930062,1.307539044707399,2.099691402695309
11,13.657020596691916,20.38828451562718,62.483920089934315,61.69977629064978,0.8538211679778973,1.2055500114783166
12,17.545697299617625,16.009020007571678,60.76220655740295,61.2388931384351,1.0498950309405104,1.4712802217310024
13,12.887376630072657,16.335583599176903,59.51042259091768,58.27260586754421,1.2810051412408197,1.088421572238034
14,23.00932916763764,17.62897462825199,58.24822349825955,58.78799243822835,1.020148670565397,1.4287216509133267
15,12.036873594821513,17.069769045837624,57.78894796556525,57.81693703806854,1.0895547023629026,0.9525322681508309
16,21.77516123190578,17.32139435819427,59.127237422460055,61.60200465871637,1.0191234814247352,1.7087693299481908
17,16.088943912309336,24.282875786021346,61.99226949803244,62.33442334654355,1.0476973236772982,1.3772035052545104
18,22.400495227939235,22.566700416623632,63.60938778711472,64.27018868180198,1.1289711423237132,2.0776002942478464
19,16.91463615723675,14.828986042142708,64.23059575968367,63.30591587149816,0.8436285011345569,1.7350995287471236
20,18.335657285479353,12.116223094851376,65.08890326278524,67.38866730628442,0.9106208767823778,1.657165509001458
