Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,13.471305391372526,19.057067783016855,33.25658582307596,39.380258510426074,1.2864307004053355,1.2043040023137295
2,18.996241198685773,14.809983960109744,45.08859672824372,50.095059113990786,1.075558967771708,1.8194100031347114
3,17.899837166742333,23.52471104050594,54.931480477884215,56.56267591453678,1.6502585366960636,1.533641172834355
4,23.419845362513684,13.156581391368505,56.74668262615261,57.2535297713612,1.471965268889623,2.418028790891986
5,16.489457484854455,19.041737423108653,57.443987990979835,57.26165253803795,1.643087602182956,1.8010164945056892
6,22.612920407108398,17.35290272530816,57.17160237921238,59.55171577199557,1.2295804959310443,2.2987499607780015
7,14.920786869590643,24.466653481180114,63.07557726570742,63.486679402671456,1.4619957250562936,2.117520177572518
8,16.690424747198566,20.201237086036887,68.00678241394917,74.33013332946129,1.0194435810109634,2.7514836918531174
9,17.318506776351168,14.78722037082574,77.32731803555637,75.95339371111639,1.2957232266237215,2.2553067917303156
10,16.343822779637218,15.810632296287226,75.12124524807537,72.25715162349694,1.0637641935141466,2.2837677990904153
11,13.69902761165764,20.506470480329597,68.16938964592138,65.78803174979693,0.7789274443443296,1.450006930449322
12,17.351489137693015,16.113610859408606,64.85696005151229,64.25928162563197,0.9521612983757709,1.4579722015303074
13,12.712835319094006,16.23262628663708,62.847466014761025,62.39730961459152,1.4657667172916347,0.9686126317888245
14,23.086976037302755,17.57916192032106,61.40480119330838,60.9079113881492,1.0343301196866126,1.5262984669577668
15,12.070945113599558,16.865821648463758,60.35471299634271,60.61846489825279,1.1158185750501302,0.9138630478411967
16,21.845604421253668,17.388864541659533,61.791453836989184,63.16878141991761,1.038615345607609,1.549000786550751
17,16.11456926854368,24.027812364252473,65.07371097264434,65.250774304616,1.2840585256018693,1.3958962762849527
18,22.629530288500877,22.24853007332548,64.74764622771535,65.95729285141132,1.2357728358823994,2.0700324538193198
19,16.508362035775246,15.195570981761545,67.15213916614465,67.11041305734734,0.7171249717434427,1.9117447414242117
20,18.36453195299364,12.35848601216902,68.86664957285426,69.84908007215635,0.7866861954273469,1.7402484821545505
