Curve_after_gate,Distance_first_part,Distance_second_part,Vel_first_part,Vel_second_part,Acc_first_part,Acc_second_part
1,12.279968737786398,13.780459617689695,71.22042408764572,70.07573785288773,1.4560095590802715,1.2014048782720994
2,14.071515698074057,17.702415034028498,69.97559855800098,68.17302952762988,1.677125314905439,1.5700132479907956
3,10.582116895349492,18.31366032126729,67.60187125073698,65.09382826447575,1.2564778937904084,1.5810911873402875
4,7.09561093627885,20.103279923426868,64.634431585194,63.140420908420666,1.6943510002501654,1.335846097012621
5,13.97415096307216,11.236060351064996,60.79463921815792,60.45006206570715,1.5631112351747485,1.8136220986703275
6,17.287775183792203,14.683133639603525,60.12682950714826,59.157686971732986,1.449033542785805,1.4155425731327484
7,18.14602747549913,12.719058988715366,56.97812897806222,54.21405515475369,1.4133174405738518,1.535818966620225
8,13.625814721700765,25.195978052697566,57.451813127010794,57.62398829892666,1.5606625707731512,1.518914146203382
9,14.104815266056265,13.776093065115191,59.7565345949057,58.80416602505579,1.2985658208275843,1.6618579154932667
10,11.848116794712974,17.919035125550394,61.23229176917273,60.62128915592364,1.2976425584651208,1.5484919049741488
11,12.50399363721845,13.34772819915933,59.999235598945695,57.33544777799695,1.4402093050450742,1.2353424749825044
12,16.068867423606847,14.855400135584738,58.43712324657556,59.278873258938106,1.5546537508624385,1.7764128296466448
13,15.59104895658926,15.420565394041455,60.36699664649767,59.5279816411396,1.211981613388504,1.757518990769263
14,10.120403183738437,21.802931667073867,61.15975458111714,63.02756465405497,1.2876977147806241,1.8926462151405457
15,12.286544570954208,8.80421962827384,65.03100886961279,63.705815402820114,1.12576513662612,1.602577982405439
16,16.667446833300236,19.85133333300753,63.37288480586754,62.603565283120076,1.4744932276783045,1.6892868841342723
17,10.121487265513405,11.23622528106129,62.68178435156041,60.94667587074864,0.9437436767801055,1.6941389710723689
18,18.571272427007454,20.34468465035152,60.2682973346668,60.29249954914455,1.2247202631496505,1.656102098143065
19,7.706266360456167,13.999115609956474,61.70707464972325,60.98801835668582,0.9383812240076714,1.4554479237929145
20,12.097384368846095,21.82606816988431,60.56339225296976,60.97356951838462,1.068895623958555,1.1825446760120581
21,6.668169824498264,8.849426814202415,61.25491658485578,61.44649618940643,0.9503584837576685,1.2919471008246637
22,16.064120674268455,21.334898438784194,62.99339343119766,65.14536954227304,1.3857945452797011,1.6030086242092783
23,10.521798781387387,10.954854416467413,65.474391418021,64.66035442088838,1.186842802287584,1.6316108435014842
24,17.364765510522552,17.131214194775744,64.16426256631733,61.244703826613524,1.3335055800179954,1.479876652130602
25,13.148167416173582,10.457270107335411,58.31059778454695,55.07676770517145,0.9096535327579793,1.373718181408572
26,16.457917903705535,17.764403180630666,52.126794037173006,47.03072840785794,1.1784342374961465,1.2356029449912003
27,11.556581950569049,10.297410612565962,43.23903961593535,39.068365541540174,1.1096926332977801,1.3420065113400004
